Priority,Category,Item,Current Status,Effort Estimate,Notes
P1-Critical,Core Auth,Multi-Factor Authentication (MFA/2FA),Missing,1 week,"No TOTP, SMS, or authenticator support"
P1-Critical,Core Auth,SAML/SSO Enterprise Integration,Missing,2-3 weeks,"Promised in enterprise plan but not implemented"
P1-Critical,Core Auth,Session Management UI (view/revoke sessions),Missing,3-5 days,"Users cannot see or revoke active sessions"
P1-Critical,Core Auth,Brute Force Protection (login throttling),Missing,2-3 days,"No per-user login attempt tracking"
P1-Critical,Core Auth,Distributed Rate Limiting (Redis),Partial,1 week,"In-memory only - doesn't work across Edge Function instances"
P1-Critical,Core Auth,API Key System for Programmatic Access,Missing,1-2 weeks,"No personal API tokens for integrations"
P1-Critical,Security,Audit Logging System,Missing,2 weeks,"No comprehensive trail of user/admin actions"
P1-Critical,Security,Data Encryption at Rest (PII fields),Missing,2-3 weeks,"Phone, address, messages stored in plaintext"
P1-Critical,Security,GDPR Data Export Endpoint,Missing,3-5 days,"Right to portability not implemented"
P1-Critical,Security,GDPR Account Deletion Flow,Missing,3-5 days,"Right to be forgotten not automated"
P1-Critical,Security,Penetration Testing,Missing,External,"No third-party security assessment"
P1-Critical,Security,Error Monitoring (Sentry Integration),Scaffolded,2-3 hours,"Code exists but disabled - needs activation"
P1-Critical,Billing,Invoice History & Management,Missing,1-2 weeks,"No invoice table, generation, or UI"
P1-Critical,Billing,Subscription Management UI,Missing,1 week,"Cannot change plan, cancel, update payment method"
P1-Critical,Billing,Refund/Chargeback Handling,Missing,1 week,"No refund processing logic"
P1-Critical,Billing,Team/Organization Billing (Multi-Seat),Missing,2-3 weeks,"Cannot scale to brokerages/teams"
P1-Critical,CRM,Lead Assignment & Routing System,Missing,2 weeks,"No round-robin, skill-based, or team routing"
P1-Critical,CRM,Lead Duplicate Detection,Missing,3-5 days,"No email/phone uniqueness enforcement"
P1-Critical,CRM,Permission/Role System for Leads,Missing,1-2 weeks,"All leads are user-owned only - no sharing"
P1-Critical,Testing,E2E Test Suite (Playwright/Cypress),Missing,2 weeks,"No end-to-end testing for critical flows"
P1-Critical,Testing,Tests in CI/CD Pipeline,Missing,2-3 hours,"Tests exist but not run in deployment"
P1-Critical,Testing,Staging Environment,Missing,1 week,"Only production deployment exists"
P1-Critical,Storage,Orphaned Image Cleanup Job,Missing,2-3 days,"Risk: images accumulate when listings deleted"
P1-Critical,Storage,Virus/Malware Scanning on Upload,Missing,1 week,"Security risk for file uploads"
P1-Critical,Storage,Cascade Delete (Storage to DB),Inconsistent,2-3 days,"Listing deletion doesn't clean up images"
P2-High,Core Auth,LDAP Directory Integration,Missing,2-3 weeks,"Enterprise directory sync not available"
P2-High,Core Auth,IP Whitelisting,Missing,1 week,"No IP-based access restrictions"
P2-High,Core Auth,Device Management/Trust,Missing,1-2 weeks,"No device fingerprinting or trust system"
P2-High,Core Auth,Audit Log Visualization Dashboard,Missing,1 week,"Admin audit table exists but no UI"
P2-High,Core Auth,Password Policy Customization,Missing,3-5 days,"Fixed 12-char requirement - not configurable"
P2-High,Security,Consent Management System,Missing,1 week,"No explicit consent tracking with timestamps"
P2-High,Security,Security Event Alerting,Missing,1 week,"No Slack/email alerts for security events"
P2-High,Security,SOC 2 Type II Preparation,Missing,3-6 months,"No compliance certification process started"
P2-High,Security,Data Retention Policy Enforcement,Missing,1 week,"No auto-delete of old data"
P2-High,Security,Incident Response Plan,Missing,1-2 days,"No documented breach response procedure"
P2-High,Billing,Trial Period Management,Missing,1 week,"Trial fields exist but unused"
P2-High,Billing,Usage-Based Billing (Stripe Metering),Partial,1 week,"Hooks exist but missing edge functions"
P2-High,Billing,Payment Method Management UI,Missing,3-5 days,"Cannot update payment methods"
P2-High,Billing,Prorated Billing for Plan Changes,Missing,3-5 days,"No proration calculation for upgrades/downgrades"
P2-High,Billing,Admin Billing Dashboard,Missing,1-2 weeks,"Cannot manage customer subscriptions"
P2-High,Billing,Dunning Management (Payment Retry),Missing,1 week,"No past_due recovery automation"
P2-High,CRM,Lead Nurturing/Drip Campaigns,Type Only,2-3 weeks,"Types defined but no automation engine"
P2-High,CRM,Pipeline/Kanban Board View,Missing,1-2 weeks,"No custom pipeline stages or visualization"
P2-High,CRM,Complete Email Tracking (Opens/Clicks),Missing,1-2 weeks,"Email only - no tracking pixels"
P2-High,CRM,SMS Integration (Twilio),Missing,1-2 weeks,"Email only - no SMS channel"
P2-High,CRM,Lead Qualification Workflow (BANT/MEDDIC),Missing,1 week,"No qualification checklist or framework"
P2-High,CRM,Bulk Operations (Assign/Update/Delete),Missing,3-5 days,"No batch operations for leads"
P2-High,CRM,Custom Fields System,Missing,1-2 weeks,"Fixed schema only - no custom fields"
