Country,Clicks,Impressions,CTR,Position
United States,21,937,2.24%,20.99
Canada,2,39,5.13%,10.15
South Korea,2,15,13.33%,6.47
Philippines,1,51,1.96%,12.04
India,1,38,2.63%,19.24
Brazil,1,35,2.86%,7.94
Turkey,1,11,9.09%,15.73
Argentina,1,9,11.11%,7.11
Poland,1,5,20%,6
Peru,1,2,50%,4.5
Egypt,1,2,50%,7
United Kingdom,0,56,0%,36.29
Australia,0,28,0%,8.82
Indonesia,0,21,0%,24
Vietnam,0,18,0%,26.56
Nigeria,0,13,0%,6.69
Spain,0,13,0%,9.31
Germany,0,12,0%,7
Thailand,0,10,0%,34.5
United Arab Emirates,0,9,0%,6.11
China,0,9,0%,7
Singapore,0,9,0%,7.22
Netherlands,0,8,0%,4.62
Mexico,0,8,0%,16.75
Pakistan,0,7,0%,20.29
Italy,0,5,0%,7
Bangladesh,0,5,0%,7.2
Russia,0,5,0%,13.4
Ukraine,0,5,0%,18.4
Albania,0,4,0%,3.25
Hungary,0,4,0%,3.25
Belgium,0,4,0%,6.25
Colombia,0,4,0%,7.5
France,0,4,0%,7.5
Ecuador,0,4,0%,8
Taiwan,0,4,0%,16.5
Malaysia,0,4,0%,40
Denmark,0,3,0%,5.33
Greece,0,3,0%,6.33
New Zealand,0,3,0%,7
Portugal,0,3,0%,7
South Africa,0,3,0%,8
Kyrgyzstan,0,3,0%,8.67
Chile,0,3,0%,14
Bosnia & Herzegovina,0,2,0%,1
Paraguay,0,2,0%,2.5
Czechia,0,2,0%,4.5
Japan,0,2,0%,5.5
Romania,0,2,0%,6
Israel,0,2,0%,6.5
Cambodia,0,2,0%,7.5
Benin,0,2,0%,15
Saudi Arabia,0,2,0%,19
Morocco,0,2,0%,74
Jamaica,0,1,0%,2
Turkmenistan,0,1,0%,2
Kuwait,0,1,0%,3
Norway,0,1,0%,3
Guadeloupe,0,1,0%,4
Hong Kong,0,1,0%,4
Armenia,0,1,0%,5
Belarus,0,1,0%,5
Kenya,0,1,0%,6
Macau,0,1,0%,6
Swaziland,0,1,0%,6
Costa Rica,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Venezuela,0,1,0%,8
Bulgaria,0,1,0%,9
Botswana,0,1,0%,9
Iran,0,1,0%,9
Myanmar (Burma),0,1,0%,9
Bolivia,0,1,0%,10
Cayman Islands,0,1,0%,10
Jordan,0,1,0%,10
Guinea-Bissau,0,1,0%,11
Estonia,0,1,0%,17
