Top queries,Clicks,Impressions,CTR,Position
agent bio,1,60,1.67%,7.33
link in bio for real estate agents,1,28,3.57%,21.18
link in bio for realtors,1,4,25%,28.25
real estate agent bio,0,82,0%,88.56
link in bio for real estate,0,35,0%,45.11
"""used to direct followers"" ""web properties""",0,20,0%,8.4
link building for real estate agents blog,0,14,0%,92.5
link to property,0,8,0%,23.38
dmca copyright office ia,0,8,0%,70.88
real estate agent portfolio,0,6,0%,20.17
luxury real estate agent bio,0,6,0%,63.33
link-in-bio tools tiktok property listings,0,5,0%,7.2
real estate bio new agent,0,4,0%,105.25
real estate agent bio for new agents,0,3,0%,37
"i run a 5 person real estate team, we all need a shareable page with our 
contact info, listings link, and socials, what tool makes that easy to set 
up",0,2,0%,5
professional real estate agent bio examples,0,2,0%,7.5
bio real estate,0,2,0%,31.5
contact bio,0,2,0%,34.5
texted link with property,0,2,0%,48
link contacts to properties,0,2,0%,50.5
real estate bio,0,2,0%,97
these are taken,0,1,0%,1
more names,0,1,0%,2
link,0,1,0%,6
agentbio,0,1,0%,7
who buy,0,1,0%,9
"site:.net ""contact agent"" ""all listings from this agent"" ""other listings 
from this user""",0,1,0%,10
bio real estate agent,0,1,0%,16
bio property,0,1,0%,19
link to listing,0,1,0%,22
real estate agent bio instagram,0,1,0%,27
listing link,0,1,0%,47
real estate bio generator,0,1,0%,54
real bio,0,1,0%,57
link properties,0,1,0%,61
real estate bio for new agents,0,1,0%,75
real estate bio examples new agent,0,1,0%,84
realtor instagram bio,0,1,0%,85
real estate agent bio new agent,0,1,0%,95
real estate agents bio,0,1,0%,95
site:*.net/auth/register,0,1,0%,189
